"Timestamp","How do you address your seniors or supervisors in your workplace or educational institute?","How do you address the same seniors or supervisors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","How do you address your juniors in your workplace or educational institute?","How do you address the same juniors in a social setting outside of the workplace or institution? For example: at a wedding or at their child's birthday party.","Suppose you just got a big promotion and are now in a senior position compared to your previous boss/supervisor. How would you address them now?","Suppose your junior just got a big promotion and is now in a senior position compared to you. How would you address them now?","How do you address your close friends?","How do you address your office colleagues or classmates?","How do you address your close elderly family members?","How do you address your siblings?","Are you more comfortable in holding important discussions on online electronic media or face to face meetings?"
"2020/09/09 1:29:26 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 1:30:07 AM GMT+7","Their first name","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:30:11 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 1:38:53 AM GMT+7","Their first name","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:43:50 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Online media"
"2020/09/09 1:50:15 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 1:51:05 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 1:54:41 AM GMT+7","Sir/ma'am , first name , nickname","Sir/ma'am , first name","Their nickname","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 2:06:15 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 2:17:08 AM GMT+7","Bhaiya","Their First name","Their first name","Their nickname","Sir/Ma'am","It depends on the one who got promoted ig.","Bro/Dude/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 2:21:47 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 2:27:35 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 2:30:22 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 2:43:34 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir name ","Sir name ","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 2:45:16 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","Their nickname","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 2:52:19 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 2:54:05 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 2:57:30 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 3:04:10 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 3:05:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 3:38:55 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 5:11:58 AM GMT+7","Mister or Miss followed by their last name","Depends on situation","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 5:44:26 AM GMT+7","Their first name","Sir/Ma'am","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 6:26:35 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 6:50:25 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 7:04:19 AM GMT+7","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their first name","Their nickname","Mister or Miss followed by their last name","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 7:13:32 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 7:32:28 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Online media"
"2020/09/09 7:33:09 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 7:40:47 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 7:46:01 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 8:14:07 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 8:18:31 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 8:21:21 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Ji","Ji","Sir/Ma'am","Ji","Their nickname","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 8:39:57 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their nickname","Sir/Ma'am","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 8:47:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 8:50:11 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 8:51:33 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their nickname","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 8:53:35 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 8:57:18 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 8:57:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their nickname","Sir/Ma'am","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 9:00:16 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their nickname","Their First name","Sir/Ma'am","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:01:18 AM GMT+7","Sir/Ma'am","Surname (like Sharma ji)","Their first name","Their First name","Their First name","Surname (like Chaudhary Sahab)","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 9:02:31 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 9:04:21 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:04:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 9:10:49 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:17:38 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Sir/Ma'am","Their First name","Sir/Ma'am","Bro/Dude/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 9:20:53 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Their First name","Sir/Ma'am","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:22:03 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 9:26:47 AM GMT+7","Sir/Ma'am","Their First name","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 9:29:43 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","The name given in friends circle ","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:30:37 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 9:40:15 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their nickname","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 9:46:40 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 9:48:41 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Face to face meeting"
"2020/09/09 9:52:15 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Mister or Miss followed by their last name","Sir/Ma'am","Mister or Miss followed by their last name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 9:59:26 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 10:02:56 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:05:18 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:05:38 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Online media"
"2020/09/09 10:21:17 AM GMT+7","Sir/Ma'am","Baiyya or excuse me ","Their first name","Their nickname","Sir/Ma'am","Their First name","Their First name","Bro/Dude/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 10:23:04 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:27:52 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 10:29:26 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Neither of them"
"2020/09/09 10:30:37 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:36:48 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Online media"
"2020/09/09 10:37:56 AM GMT+7","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their first name","Their First name","Mister or Miss followed by their last name","Their First name","Their nickname","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:40:04 AM GMT+7","Sir/Ma'am","Mister or Miss followed by their last name","Their first name","Their First name","Sir/Ma'am","Mister or Miss followed by their last name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:40:21 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:40:27 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their nickname","Their nickname","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:40:34 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bro/Dude/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Either of them, doesn't matter"
"2020/09/09 10:41:13 AM GMT+7","Sir/Ma'am","Uncle or brother or didi or aunty","Their first name","Their nickname","Mister or Miss followed by their last name","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:42:30 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:42:43 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Bhai/Dost/Yaar/etc.","A mix of the above depending on the situation and proximity ","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:42:46 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Mister or Miss followed by their last name","Mister or Miss followed by their last name","Their nickname","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:44:02 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:44:09 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Either of them, doesn't matter"
"2020/09/09 10:45:41 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their nickname","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:46:05 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Face to face meeting"
"2020/09/09 10:47:42 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:47:51 AM GMT+7","Their first name","Their First name","Their first name","Their First name","Their First name","Their First name","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:48:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","By the relation: Brother/Sister","Either of them, doesn't matter"
"2020/09/09 10:49:15 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:51:41 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:52:31 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
"2020/09/09 10:55:27 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Mister or Miss followed by their last name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 10:56:45 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their nickname","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 10:57:02 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Mister or Master followed by their last name","Mister or Miss followed by their last name","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bro/Dude/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","By the relation: Bhaiya/Didi/Bhai/Behen","Either of them, doesn't matter"
"2020/09/09 10:57:15 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Their First name","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Face to face meeting"
"2020/09/09 10:58:19 AM GMT+7","Name followed by sir/ma'am","Name followed by sir/ma'am","Their first name","Their First name","Depends on position and age of person","Name followed by sir/ma'am","Their First name","Name followed by sir/ma'am","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Depends on their ageand relation","Online media"
"2020/09/09 10:59:24 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their First name","Face to face meeting"
"2020/09/09 10:59:56 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Their first name","Their First name","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their nickname","Face to face meeting"
"2020/09/09 11:00:28 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Their First name","Their First name","By the relation: Mummy/Maa/Papa/Dada/Dadi/etc.","Their nickname","Online media"
"2020/09/09 11:00:47 AM GMT+7","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Sir/Ma'am","Bhai/Dost/Yaar/etc.","Bhai/Dost/Yaar/etc.","By the relation: Mom/Dad/Granny/Grandpa/etc.","Their First name","Face to face meeting"
